51584,8141,0
73705,2183,0
147446,15144,0
29424,8451,0
141073,37613,0
716895,1.91249e+07,68276
166843,3350,0
2.60264e+06,3.12031e+07,499962
327823,122652,249
184301,4510,0
252041,10725,5651
45495,103346,0
69413,111118,0
209929,65248,0
40551,22558,0
72,3099,0
282984,10137,0
184148,11758,0
73241,12980,0
40344,65108,0
313560,72077,233
194185,7230,213
315747,9417,1777
51632,2719,0
184488,10703,0
76250,10879,0
215970,3583,0
338944,161422,246
22436,89877,0
109845,6022,0
297285,2429,0
40329,88889,0
48992,7412,0
40557,68725,0
15996,2483,0
357125,168234,279
109776,42814,0
8.95964e+06,2.5391e+07,56231
67225,46882,0
12545,84160,0
7.26981e+06,2.47222e+07,31660
9.0293e+06,2.53247e+07,148945
367386,134627,264
40518,10242,0
7.02586e+06,2.75096e+07,3262
4.17241e+06,3.02982e+07,27126
327439,25083,228
1.66155e+06,3.27767e+07,162029
7.28876e+06,2.76356e+07,4094
184733,52731,13197
75917,97258,0
219441,153428,3235
15862,4347,0
129482,2173,0
9.07017e+06,2.57963e+07,3078
1.31221e+06,3.3454e+07,7910
176299,247782,0
3.20712e+06,3.16581e+07,24145
3.32809e+06,3.13773e+07,119345
200551,401569,34912
7.28511e+06,2.78214e+07,2622
2.36173e+06,3.26118e+07,72907
2.42511e+06,3.24177e+07,190337
2.19106e+06,3.26924e+07,277628
2.36363e+06,3.28064e+07,39489
6.02609e+06,2.90075e+07,179084
637864,4082,0
5.3196e+06,2.97504e+07,240103
675560,31915,0
668890,33027,0
606169,9153,0
670215,12600,0
652318,4405,0
1.79501e+06,3.34329e+07,4649
858701,16889,219
524646,37967,0
3.14457e+06,3.19975e+07,93071
675700,18884,0
607578,2684,0
670198,23043,0
668336,21329,0
929934,2816,0
668068,7755,0
770449,5195,253
750136,16478,7603
762674,20469,227
734544,30686,213
1.33607e+06,3.38163e+07,167978
810394,11061,302
